Actions #,Coût par action (en euros),Bénéfice (après 2 ans)
Action-42070,377,2
Action-42071,488,14
Action-42072,282,37
Action-42073,47,14
Action-42074,160,29
Action-42075,198,0
Action-42076,294,14
Action-42077,115,37
Action-42078,487,27
Action-42079,77,37
Action-42080,33,40
Action-42081,238,8
Action-42082,31,13
Action-42083,122,29
Action-42084,128,38
Action-42085,364,17
Action-42086,462,49
Action-42087,310,19
Action-42088,364,26
Action-42089,205,29
Action-42090,404,0
Action-42091,381,25
Action-42092,213,27
Action-42093,60,38
Action-42094,308,2
Action-42095,389,10
Action-42096,404,24
Action-42097,283,33
Action-42098,135,2
Action-42099,232,22
Action-42100,455,26
Action-42101,54,35
Action-42102,118,4
Action-42103,281,16
Action-42104,288,5
Action-42105,479,2
Action-42106,338,19
Action-42107,80,17
Action-42108,125,25
Action-42109,437,7
Action-42110,362,31
Action-42111,311,49
Action-42112,57,49
Action-42113,146,45
Action-42114,405,27
Action-42115,97,5
Action-42116,398,24
Action-42117,33,32
Action-42118,145,43
Action-42119,115,36
Action-42120,410,48
Action-42121,355,15
Action-42122,58,14
Action-42123,36,30
Action-42124,168,27
Action-42125,208,15
Action-42126,293,27
Action-42127,183,14
Action-42128,493,32
Action-42129,128,0
Action-42130,68,6
Action-42131,437,35
Action-42132,387,2
Action-42133,380,0
Action-42134,416,46
Action-42135,143,12
Action-42136,203,18
Action-42137,440,4
Action-42138,385,7
Action-42139,67,22
Action-42140,197,32
Action-42141,268,28
Action-42142,141,42
Action-42143,200,40
Action-42144,157,18
Action-42145,370,13
Action-42146,193,36
Action-42147,456,32
Action-42148,323,19
Action-42149,45,47
Action-42150,218,49
Action-42151,478,11
Action-42152,321,33
Action-42153,392,24
Action-42154,170,16
Action-42155,347,18
Action-42156,345,42
Action-42157,419,1
Action-42158,134,19
Action-42159,279,2
Action-42160,469,22
Action-42161,370,48
Action-42162,17,11
Action-42163,27,35
Action-42164,129,15
Action-42165,153,22
Action-42166,59,26
Action-42167,245,10
Action-42168,34,47
Action-42169,57,40
Action-42170,87,34
Action-42171,92,44
Action-42172,138,5
Action-42173,66,29
Action-42174,491,27
Action-42175,276,33
Action-42176,367,46
Action-42177,170,20
Action-42178,226,49
Action-42179,167,29
Action-42180,342,12
Action-42181,313,2
Action-42182,472,27
Action-42183,103,15
Action-42184,497,42
Action-42185,105,15
Action-42186,82,9
Action-42187,495,24
Action-42188,191,47
Action-42189,207,43
Action-42190,28,41
Action-42191,36,32
Action-42192,14,33
Action-42193,257,26
Action-42194,451,18
Action-42195,370,17
Action-42196,94,46
Action-42197,43,46
Action-42198,259,48
Action-42199,314,35
Action-42200,39,24
Action-42201,387,38
Action-42202,247,33
Action-42203,299,27
Action-42204,71,41
Action-42205,474,34
Action-42206,394,8
Action-42207,398,32
Action-42208,471,21
Action-42209,180,39
Action-42210,367,40
Action-42211,492,17
Action-42212,194,8
Action-42213,364,46
Action-42214,42,34
Action-42215,355,30
Action-42216,245,33
Action-42217,144,46
Action-42218,477,39
Action-42219,46,8
Action-42220,400,31
Action-42221,117,25
Action-42222,328,29
Action-42223,287,27
Action-42224,1,31
Action-42225,89,8
Action-42226,207,31
Action-42227,359,45
Action-42228,20,19
Action-42229,56,15
Action-42230,176,2
Action-42231,142,18
Action-42232,387,40
Action-42233,469,35
Action-42234,17,29
Action-42235,170,7
Action-42236,380,14
Action-42237,38,1
Action-42238,239,22
Action-42239,336,14
Action-42240,39,33
Action-42241,9,48
Action-42242,19,18
Action-42243,180,48
Action-42244,143,46
Action-42245,139,30
Action-42246,257,18
Action-42247,406,30
Action-42248,290,47
Action-42249,87,32
Action-42250,298,11
Action-42251,485,5
Action-42252,65,12
Action-42253,405,9
Action-42254,170,0
Action-42255,435,6
Action-42256,10,2
Action-42257,266,43
Action-42258,250,46
Action-42259,394,23
Action-42260,384,24
Action-42261,309,41
Action-42262,295,45
Action-42263,229,41
Action-42264,63,26
Action-42265,438,49
Action-42266,206,30
Action-42267,354,1
Action-42268,281,7
Action-42269,365,6
Action-42270,19,18
Action-42271,155,48
Action-42272,237,35
Action-42273,463,10
Action-42274,188,9
Action-42275,84,11
Action-42276,95,41
Action-42277,141,17
Action-42278,240,42
Action-42279,238,35
Action-42280,108,34
Action-42281,64,16
Action-42282,12,28
Action-42283,433,23
Action-42284,385,44
Action-42285,227,35
Action-42286,116,32
Action-42287,88,17
Action-42288,297,42
Action-42289,432,48
Action-42290,344,20
Action-42291,112,30
Action-42292,444,28
Action-42293,301,44
Action-42294,248,19
Action-42295,341,28
Action-42296,342,33
Action-42297,254,39
Action-42298,371,40
Action-42299,151,4
Action-42300,498,36
Action-42301,465,39
Action-42302,431,13
Action-42303,129,7
Action-42304,78,12
Action-42305,384,34
Action-42306,332,32
Action-42307,78,26
Action-42308,136,48
Action-42309,420,28
Action-42310,480,26
Action-42311,31,34
Action-42312,240,16
Action-42313,468,18
Action-42314,185,40
Action-42315,266,27
Action-42316,214,12
Action-42317,15,27
Action-42318,455,6
Action-42319,418,0
Action-42320,182,0
Action-42321,219,31
Action-42322,5,46
Action-42323,51,2
Action-42324,174,45
Action-42325,110,46
Action-42326,265,28
Action-42327,380,40
Action-42328,188,15
Action-42329,315,34
Action-42330,319,12
Action-42331,49,34
Action-42332,495,14
Action-42333,148,47
Action-42334,160,33
Action-42335,425,1
Action-42336,73,5
Action-42337,150,19
Action-42338,342,34
Action-42339,338,49
Action-42340,301,36
Action-42341,114,6
Action-42342,85,47
Action-42343,72,30
Action-42344,185,48
Action-42345,128,40
Action-42346,232,9
Action-42347,85,46
Action-42348,83,3
Action-42349,165,45
Action-42350,297,32
Action-42351,302,43
Action-42352,55,7
Action-42353,468,7
Action-42354,67,44
Action-42355,183,27
Action-42356,97,20
Action-42357,205,38
Action-42358,340,4
Action-42359,123,4
Action-42360,324,16
Action-42361,208,5
Action-42362,14,8
Action-42363,422,14
Action-42364,0,38
Action-42365,364,13
Action-42366,482,34
Action-42367,420,34
Action-42368,461,6
Action-42369,2,0
Action-42370,307,41
Action-42371,274,2
Action-42372,220,35
Action-42373,87,36
Action-42374,372,46
Action-42375,221,2
Action-42376,489,45
Action-42377,194,34
Action-42378,135,32
Action-42379,280,40
Action-42380,285,14
Action-42381,274,33
Action-42382,345,6
Action-42383,352,15
Action-42384,403,29
Action-42385,336,6
Action-42386,68,5
Action-42387,35,41
Action-42388,156,42
Action-42389,101,20
Action-42390,61,38
Action-42391,411,21
Action-42392,136,16
Action-42393,287,9
Action-42394,189,40
Action-42395,91,36
Action-42396,108,6
Action-42397,36,8
Action-42398,339,36
Action-42399,51,12
Action-42400,293,26
Action-42401,256,4
Action-42402,57,43
Action-42403,251,35
Action-42404,371,48
Action-42405,392,22
Action-42406,130,32
Action-42407,101,16
Action-42408,457,29
Action-42409,430,6
Action-42410,254,16
Action-42411,187,26
Action-42412,191,11
Action-42413,411,48
Action-42414,254,26
Action-42415,59,15
Action-42416,17,38
Action-42417,209,40
Action-42418,249,32
Action-42419,138,49
Action-42420,480,21
Action-42421,124,34
Action-42422,249,45
Action-42423,462,15
Action-42424,86,31
Action-42425,300,28
Action-42426,367,0
Action-42427,297,27
Action-42428,255,24
Action-42429,128,33
Action-42430,201,49
Action-42431,386,6
Action-42432,0,39
Action-42433,421,9
Action-42434,113,14
Action-42435,494,9
Action-42436,54,6
Action-42437,306,32
Action-42438,244,28
Action-42439,451,19
Action-42440,394,26
Action-42441,331,13
Action-42442,93,1
Action-42443,95,40
Action-42444,284,18
Action-42445,277,45
Action-42446,467,11
Action-42447,32,4
Action-42448,182,26
Action-42449,67,18
Action-42450,180,13
Action-42451,269,40
Action-42452,6,25
Action-42453,56,39
Action-42454,76,3
Action-42455,284,37
Action-42456,179,38
Action-42457,382,38
Action-42458,2,20
Action-42459,281,1
Action-42460,269,21
Action-42461,346,30
Action-42462,222,38
Action-42463,283,24
Action-42464,268,18
Action-42465,217,48
Action-42466,221,11
Action-42467,431,8
Action-42468,459,33
Action-42469,433,20
Action-42470,131,39
Action-42471,47,2
Action-42472,41,1
Action-42473,235,12
Action-42474,337,10
Action-42475,230,26
Action-42476,373,42
Action-42477,121,27
Action-42478,357,5
Action-42479,257,32
Action-42480,342,28
Action-42481,107,2
Action-42482,497,22
Action-42483,302,47
Action-42484,159,43
Action-42485,66,39
Action-42486,188,12
Action-42487,441,35
Action-42488,304,0
Action-42489,238,11
Action-42490,426,49
Action-42491,143,14
Action-42492,409,5
Action-42493,420,37
Action-42494,428,41
Action-42495,60,33
Action-42496,59,36
Action-42497,249,31
Action-42498,59,40
Action-42499,144,19
Action-42500,127,10
Action-42501,148,17
Action-42502,378,12
Action-42503,110,15
Action-42504,70,29
Action-42505,252,42
Action-42506,25,32
Action-42507,240,30
Action-42508,443,22
Action-42509,141,44
Action-42510,168,47
Action-42511,4,8
Action-42512,271,5
Action-42513,405,33
Action-42514,322,3
Action-42515,214,48
Action-42516,329,33
Action-42517,33,6
Action-42518,30,41
Action-42519,2,14
Action-42520,377,42
Action-42521,143,17
Action-42522,261,27
Action-42523,346,49
Action-42524,43,1
Action-42525,498,33
Action-42526,346,48
Action-42527,356,10
Action-42528,230,4
Action-42529,377,18
Action-42530,455,15
Action-42531,145,24
Action-42532,10,29
Action-42533,375,23
Action-42534,142,26
Action-42535,307,41
Action-42536,8,29
Action-42537,28,2
Action-42538,131,10
Action-42539,48,40
Action-42540,145,7
Action-42541,245,29
Action-42542,26,2
Action-42543,290,41
Action-42544,314,0
Action-42545,472,23
Action-42546,379,26
Action-42547,158,12
Action-42548,269,47
Action-42549,159,44
Action-42550,9,15
Action-42551,302,14
Action-42552,173,12
Action-42553,469,48
Action-42554,499,1
Action-42555,73,48
Action-42556,457,17
Action-42557,145,1
Action-42558,171,33
Action-42559,449,14
Action-42560,485,27
Action-42561,406,16
Action-42562,183,38
Action-42563,320,44
Action-42564,370,0
Action-42565,0,0
Action-42566,384,20
Action-42567,429,21
Action-42568,333,46
Action-42569,93,22
Action-42570,21,32
Action-42571,116,17
Action-42572,133,31
Action-42573,52,8
Action-42574,181,20
Action-42575,343,30
Action-42576,287,13
Action-42577,203,29
Action-42578,219,11
Action-42579,73,6
Action-42580,191,24
Action-42581,420,13
Action-42582,392,18
Action-42583,113,6
Action-42584,84,17
Action-42585,194,48
Action-42586,478,24
Action-42587,227,38
Action-42588,277,39
Action-42589,238,43
Action-42590,84,33
Action-42591,424,20
Action-42592,477,27
Action-42593,413,46
Action-42594,152,46
Action-42595,311,38
Action-42596,315,49
Action-42597,474,12
Action-42598,177,8
Action-42599,465,13
Action-42600,239,45
Action-42601,177,48
Action-42602,306,34
Action-42603,459,45
Action-42604,285,37
Action-42605,275,23
Action-42606,155,24
Action-42607,259,20
Action-42608,88,25
Action-42609,115,46
Action-42610,15,20
Action-42611,220,12
Action-42612,482,11
Action-42613,226,8
Action-42614,434,9
Action-42615,268,7
Action-42616,280,29
Action-42617,313,38
Action-42618,188,36
Action-42619,427,9
Action-42620,89,48
Action-42621,16,25
Action-42622,217,7
Action-42623,493,33
Action-42624,385,9
Action-42625,260,9
Action-42626,305,26
Action-42627,287,6
Action-42628,494,3
Action-42629,412,36
Action-42630,417,4
Action-42631,266,33
Action-42632,389,41
Action-42633,184,46
Action-42634,260,8
Action-42635,268,37
Action-42636,434,21
Action-42637,160,11
Action-42638,59,38
Action-42639,392,34
Action-42640,2,33
Action-42641,300,24
Action-42642,256,5
Action-42643,228,5
Action-42644,156,46
Action-42645,9,20
Action-42646,5,38
Action-42647,165,23
Action-42648,94,5
Action-42649,317,9
Action-42650,489,0
Action-42651,389,5
Action-42652,207,9
Action-42653,288,29
Action-42654,250,32
Action-42655,328,38
Action-42656,362,40
Action-42657,364,49
Action-42658,84,17
Action-42659,325,21
Action-42660,253,45
Action-42661,470,21
Action-42662,49,5
Action-42663,218,17
Action-42664,149,39
Action-42665,217,42
Action-42666,175,32
Action-42667,257,22
Action-42668,313,39
Action-42669,436,26
Action-42670,41,30
Action-42671,242,36
Action-42672,488,6
Action-42673,113,15
Action-42674,486,13
Action-42675,192,43
Action-42676,340,32
Action-42677,381,10
Action-42678,359,26
Action-42679,29,3
Action-42680,394,16
Action-42681,76,4
Action-42682,191,5
Action-42683,43,29
Action-42684,250,25
Action-42685,114,8
Action-42686,88,24
Action-42687,399,15
Action-42688,222,6
Action-42689,108,34
Action-42690,222,26
Action-42691,447,5
Action-42692,200,36
Action-42693,426,10
Action-42694,239,19
Action-42695,162,48
Action-42696,382,14
Action-42697,306,9
Action-42698,239,0
Action-42699,229,39
Action-42700,128,30
Action-42701,104,45
Action-42702,383,31
Action-42703,183,35
Action-42704,93,28
Action-42705,292,38
Action-42706,456,2
Action-42707,245,26
Action-42708,478,27
Action-42709,103,14
Action-42710,2,28
Action-42711,82,26
Action-42712,284,17
Action-42713,92,36
Action-42714,220,5
Action-42715,378,46
Action-42716,264,42
Action-42717,276,17
Action-42718,125,4
Action-42719,395,16
Action-42720,10,14
Action-42721,205,14
Action-42722,393,33
Action-42723,55,48
Action-42724,146,5
Action-42725,396,48
Action-42726,471,24
Action-42727,343,16
Action-42728,165,30
Action-42729,484,24
Action-42730,1,10
Action-42731,259,13
Action-42732,12,17
Action-42733,488,9
Action-42734,366,2
Action-42735,77,5
Action-42736,158,27
Action-42737,3,2
Action-42738,277,49
Action-42739,497,13
Action-42740,358,17
Action-42741,114,19
Action-42742,24,29
Action-42743,74,4
Action-42744,318,9
Action-42745,167,47
Action-42746,351,24
Action-42747,52,7
Action-42748,121,2
Action-42749,259,5
Action-42750,60,20
Action-42751,138,8
Action-42752,244,45
Action-42753,227,7
Action-42754,469,16
Action-42755,356,1
Action-42756,121,49
Action-42757,353,24
Action-42758,84,10
Action-42759,135,23
Action-42760,403,39
Action-42761,211,19
Action-42762,223,11
Action-42763,208,28
Action-42764,476,43
Action-42765,311,37
Action-42766,71,27
Action-42767,381,49
Action-42768,243,46
Action-42769,13,10
Action-42770,393,47
Action-42771,245,29
Action-42772,239,12
Action-42773,435,14
Action-42774,139,19
Action-42775,484,47
Action-42776,207,38
Action-42777,191,13
Action-42778,450,1
Action-42779,117,20
Action-42780,498,6
Action-42781,462,17
Action-42782,130,36
Action-42783,397,22
Action-42784,154,14
Action-42785,96,3
Action-42786,272,49
Action-42787,394,12
Action-42788,446,42
Action-42789,140,34
Action-42790,48,23
Action-42791,233,11
Action-42792,275,19
Action-42793,41,35
Action-42794,449,40
Action-42795,436,9
Action-42796,101,37
Action-42797,416,8
Action-42798,152,13
Action-42799,260,23
Action-42800,75,47
Action-42801,270,12
Action-42802,238,23
Action-42803,110,23
Action-42804,190,42
Action-42805,270,5
Action-42806,352,22
Action-42807,169,21
Action-42808,189,11
Action-42809,143,0
Action-42810,179,28
Action-42811,386,28
Action-42812,154,19
Action-42813,220,45
Action-42814,1,15
Action-42815,366,9
Action-42816,314,16
Action-42817,231,9
Action-42818,490,35
Action-42819,71,45
Action-42820,421,41
Action-42821,276,2
Action-42822,22,49
Action-42823,342,32
Action-42824,114,19
Action-42825,86,13
Action-42826,35,15
Action-42827,434,33
Action-42828,376,30
Action-42829,315,7
Action-42830,134,34
Action-42831,84,28
Action-42832,53,13
Action-42833,180,2
Action-42834,318,10
Action-42835,344,32
Action-42836,476,11
Action-42837,473,42
Action-42838,323,2
Action-42839,315,2
Action-42840,382,7
Action-42841,150,19
Action-42842,357,0
Action-42843,13,15
Action-42844,393,17
Action-42845,460,45
Action-42846,368,6
Action-42847,238,19
Action-42848,345,32
Action-42849,461,10
Action-42850,170,2
Action-42851,499,20
Action-42852,92,32
Action-42853,229,8
Action-42854,280,2
Action-42855,137,44
Action-42856,446,24
Action-42857,81,8
Action-42858,108,5
Action-42859,281,38
